,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30
IncreaseDecreaseInUnearnedPremiums,,,9000000.000,,,,2800000.000,,,,2900000.000,,,,-8200000.000,,,,-15500000.000,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,100000.000,,200000.000,,300000.000,,500000.000,400000.000,600000.000,-1100000.000,400000.000,500000.000,800000.000,-1200000.000,400000.000,0.000
IncurredClaimsPropertyCasualtyAndLiability,401600000.000,315300000.000,191300000.000,201700000.000,201400000.000,183900000.000,173000000.000,186100000.000,178800000.000,181900000.000,171800000.000,190400000.000,184400000.000,224700000.000,195000000.000,224600000.000,207500000.000,235700000.000,225000000.000,262900000.000
InterestAndDividendIncomeOperating,,,,1200000.000,1300000.000,,,,,,,,,,,,,,,
InterestExpenseDebt,1700000.000,1900000.000,1800000.000,1700000.000,1800000.000,1700000.000,1700000.000,3800000.000,1600000.000,1400000.000,1300000.000,1300000.000,1400000.000,1400000.000,1300000.000,1400000.000,1300000.000,1400000.000,1300000.000,1400000.000
InterestPaid,,,200000.000,,,,200000.000,,,,1300000.000,,,,1300000.000,,,,1300000.000,
InvestmentIncomeInterest,,,,21000000.000,17600000.000,,17400000.000,20200000.000,19400000.000,17900000.000,18100000.000,21000000.000,19400000.000,18200000.000,15900000.000,20400000.000,19100000.000,18300000.000,17800000.000,19500000.000
InvestmentIncomeInvestmentExpense,,,,500000.000,400000.000,,500000.000,500000.000,600000.000,500000.000,500000.000,500000.000,500000.000,500000.000,500000.000,600000.000,400000.000,500000.000,400000.000,400000.000
MarketableSecuritiesRealizedGainLossOtherThanTemporaryImpairmentsAmount,800000.000,4400000.000,400000.000,1300000.000,700000.000,1000000.000,300000.000,2000000.000,300000.000,1400000.000,800000.000,300000.000,1100000.000,300000.000,500000.000,800000.000,3500000.000,3100000.000,3700000.000,600000.000
NetCashProvidedByUsedInFinancingActivities,,,-6000000.000,,,,-4000000.000,,,,-3700000.000,,,,-3500000.000,,,,-3500000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-6000000.000,,,,-4000000.000,,,,-3700000.000,,,,-3500000.000,,,,-3500000.000,
NetCashProvidedByUsedInInvestingActivities,,,56500000.000,,,,1300000.000,,,,-600000.000,,,,-69000000.000,,,,-31400000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,56500000.000,,,,1300000.000,,,,-600000.000,,,,-69000000.000,,,,-31400000.000,
NetCashProvidedByUsedInOperatingActivities,,,-343500000.000,,,,8000000.000,,,,2300000.000,,,,54600000.000,,,,24500000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-343500000.000,,,,8000000.000,,,,2300000.000,,,,54600000.000,,,,24500000.000,
NetInvestmentIncome,25200000.000,20300000.000,17500000.000,20500000.000,17200000.000,20200000.000,16900000.000,19700000.000,18800000.000,17400000.000,17600000.000,20500000.000,18900000.000,17700000.000,15400000.000,19800000.000,18700000.000,17800000.000,17400000.000,19100000.000
OperatingExpenses,522000000.000,440000000.000,282300000.000,289400000.000,292000000.000,275800000.000,265300000.000,279000000.000,274000000.000,273400000.000,263600000.000,291300000.000,278200000.000,312800000.000,301700000.000,334000000.000,319800000.000,345800000.000,335400000.000,373600000.000
OtherComprehensiveIncomeAvailableForSaleSecuritiesAdjustmentNetOfTaxPeriodIncreaseDecrease,,,15000000.000,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPeriodIncreaseDecrease,,,700000.000,,,,,,,,,,,,,,,,,
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,900000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,,,,,,,19700000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,,,,,,,-6700000.000,,,,,,,,,,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,-5900000.000,29400000.000,,13000000.000,-61300000.000,6000000.000,2900000.000,8100000.000,26100000.000,-18500000.000,9700000.000,8300000.000,-28600000.000,-22900000.000,1700000.000,23200000.000,20600000.000
