,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01
DeferredTaxAssetsInventory,,,,,26000000.000,,,,22000000.000,,,,37000000.000,,,,0.000,,,,31000000.000,,,,28000000.000,
DeferredTaxAssetsLiabilitiesNet,,,,,-419000000.000,,,,-262000000.000,,,,-599000000.000,,,,-377000000.000,,,,-320000000.000,,,,,
DeferredTaxAssetsNet,,,,,535000000.000,,,,688000000.000,,,,359000000.000,,,,580000000.000,,,,644000000.000,,,,599000000.000,
DeferredTaxAssetsNetCurrent,,134000000.000,161000000.000,159000000.000,149000000.000,197000000.000,176000000.000,172000000.000,152000000.000,168000000.000,161000000.000,185000000.000,195000000.000,155000000.000,169000000.000,207000000.000,184000000.000,170000000.000,161000000.000,193000000.000,227000000.000,0.000,0.000,0.000,0.000,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,41000000.000,,,,61000000.000,,,,55000000.000,,,,54000000.000,,,,55000000.000,,,,119000000.000,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,,,,,8000000.000,,,,7000000.000,,,,13000000.000,,,,10000000.000,,,,13000000.000,,,,0.000,
DeferredTaxAssetsOther,,,,,53000000.000,,,,90000000.000,,,,109000000.000,,,,84000000.000,,,,86000000.000,,,,42000000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,,,,,312000000.000,,,,426000000.000,,,,65000000.000,,,,305000000.000,,,,366000000.000,,,,403000000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,,,,,39000000.000,,,,39000000.000,,,,36000000.000,,,,35000000.000,,,,35000000.000,,,,38000000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,48000000.000,,,,51000000.000,,,,36000000.000,,,,38000000.000,,,,42000000.000,,,,41000000.000,
DeferredTaxAssetsValuationAllowance,,,,,46000000.000,,,,59000000.000,,,,61000000.000,,,,51000000.000,,,,63000000.000,,,,131000000.000,
DeferredTaxLiabilities,,,,,954000000.000,,,,950000000.000,,,,958000000.000,,,,957000000.000,,,,964000000.000,,,,355000000.000,
DeferredTaxLiabilitiesDeferredExpenseCapitalizedInterest,,,,,2000000.000,,,,0.000,,,,0.000,,,,,,,,,,,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,477000000.000,,,,496000000.000,,,,529000000.000,,,,555000000.000,,,,576000000.000,,,,602000000.000,
DeferredTaxLiabilitiesNoncurrent,,749000000.000,768000000.000,790000000.000,637000000.000,648000000.000,644000000.000,643000000.000,523000000.000,563000000.000,569000000.000,560000000.000,928000000.000,915000000.000,917000000.000,943000000.000,726000000.000,764000000.000,747000000.000,765000000.000,685000000.000,447000000.000,477000000.000,459000000.000,525000000.000,456000000.000
DeferredTaxLiabilitiesOther,,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,,,,,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,365000000.000,,,,386000000.000,,,,366000000.000,,,,352000000.000,,,,345000000.000,,,,318000000.000,
DeferredTaxLiabilitiesUndistributedForeignEarnings,,,,,25000000.000,,,,5000000.000,,,,2000000.000,,,,1000000.000,,,,0.000,,,,,
DefinedBenefitPensionPlanLiabilitiesNoncurrent,,176000000.000,171000000.000,195000000.000,560000000.000,550000000.000,595000000.000,564000000.000,886000000.000,873000000.000,869000000.000,886000000.000,277000000.000,270000000.000,269000000.000,267000000.000,777000000.000,760000000.000,728000000.000,731000000.000,946000000.000,937000000.000,922000000.000,928000000.000,1024000000.000,1008000000.000
DefinedBenefitPlanAccumulatedBenefitObligation,,,,,4000000000.000,,,,4700000000.000,,,,4500000000.000,,,,5100000000.000,,,,4900000000.000,,,,5100000000.000,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeBeforeTax,,,,,,,,,,,,,,,,,,,,,67000000.000,,,,56000000.000,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditAfterTax,,,,,,,,,,80000000.000,78000000.000,76000000.000,,65000000.000,68000000.000,55000000.000,,51000000.000,49000000.000,6000000.000,7000000.000,7000000.000,6000000.000,5000000.000,-11000000.000,-11000000.000
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax,,,,,,,,,,,,,,,,,,,,,67000000.000,,,,56000000.000,
DefinedBenefitPlanAmountsRecognizedInBalanceSheet,,,,,,,,,,,,,,,,,,,,,-732000000.000,,,,,
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,,463000000.000,474000000.000,480000000.000,150000000.000,190000000.000,195000000.000,233000000.000,145000000.000,163000000.000,171000000.000,187000000.000,419000000.000,515000000.000,501000000.000,512000000.000,250000000.000,254000000.000,279000000.000,283000000.000,231000000.000,248000000.000,246000000.000,256000000.000,66000000.000,
DefinedBenefitPlanEstimatedFutureEmployerContributionsInCurrentFiscalYear,,,,,,51000000.000,56000000.000,54000000.000,,62000000.000,62000000.000,,,,,,,,,,,,,,,
DerivativeAssetDesignatedAsHedgingInstrumentFairValue,,85000000.000,74000000.000,32000000.000,,,,,,,,,,,,,,,,,,,,,,
DerivativeAssetFairValueGrossLiability,,,,,,,,,,,,,,0.000,,,,,,,,,,,,
DerivativeAssetFairValueOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection,,,,,,,,,,,,,,,,,,,24000000.000,22000000.000,,7000000.000,34000000.000,32000000.000,,2000000.000
DerivativeAssetNotDesignatedAsHedgingInstrumentFairValue,,,26000000.000,0.000,,,,,,,,,,,,,,,,,,,,,,
DerivativeAssetNotOffsetPolicyElectionDeduction,,,,,,,,,,,,,,,,,,,38000000.000,22000000.000,,30000000.000,12000000.000,6000000.000,,12000000.000
DerivativeAssets,,,,,,,,,,,,,,,,,,,62000000.000,44000000.000,,37000000.000,46000000.000,38000000.000,,14000000.000
DerivativeCollateralObligationToReturnCash,,,,,,,,,,,,,,-10000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DerivativeCollateralObligationToReturnSecurities,,,,,,,,,,,,,,-10000000.000,-10000000.000,-11000000.000,-29000000.000,-24000000.000,,,12000000.000,,,,24000000.000,
DerivativeCollateralRightToReclaimCash,,,,,,,,,,,,,,12000000.000,27000000.000,64000000.000,50000000.000,40000000.000,11000000.000,48000000.000,51000000.000,13000000.000,27000000.000,38000000.000,48000000.000,59000000.000
DerivativeCollateralRightToReclaimSecurities,,,,,,,,,,,,,,10000000.000,10000000.000,11000000.000,29000000.000,24000000.000,,,12000000.000,,,,24000000.000,
DerivativeFairValueOfDerivativeAsset,,,,,36000000.000,28000000.000,61000000.000,,,,,,,26000000.000,,,,,,,,,,,,
DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,,,,,,,,,,,,,,26000000.000,10000000.000,14000000.000,43000000.000,58000000.000,,,33000000.000,,,,41000000.000,
DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,,,,,,,,,,,,,,6000000.000,0.000,3000000.000,14000000.000,34000000.000,,,21000000.000,,,,17000000.000,
DerivativeFairValueOfDerivativeLiability,,,,,,,,,,,,,,-87000000.000,,,,,,,,,,,,
DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,,,,,,,,,,,,,,-87000000.000,-79000000.000,-126000000.000,-88000000.000,-77000000.000,,,63000000.000,,,,83000000.000,
DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,,,,,,,,,,,,,,-65000000.000,-42000000.000,-51000000.000,-9000000.000,-13000000.000,,,0.000,,,,11000000.000,
DerivativeLiabilities,,,,,,,,,,,,,,,,,,,59000000.000,70000000.000,,61000000.000,39000000.000,44000000.000,,93000000.000
DerivativeLiabilityFairValueGrossAsset,,,,,,,,,,,,,,0.000,,,,,,,,,,,,
DerivativeLiabilityFairValueOffsetAgainstCollateralNetOfNotSubjectToMasterNettingArrangementPolicyElection,,,,,,,,,,,,,,,,,,,10000000.000,0.000,,18000000.000,0.000,0.000,,22000000.000
DerivativeLiabilityNotOffsetPolicyElectionDeduction,,,,,,,,,,,,,,,,,,,38000000.000,22000000.000,,30000000.000,12000000.000,6000000.000,,12000000.000
DerivativeNetLiabilityPositionAggregateFairValue,,55000000.000,-77000000.000,-64000000.000,-68000000.000,-63000000.000,53000000.000,,,,,,,,,,,,,,,,,,,
EmployeeRelatedLiabilitiesCurrent,,179000000.000,205000000.000,239000000.000,,172000000.000,215000000.000,250000000.000,,201000000.000,219000000.000,257000000.000,,242000000.000,287000000.000,293000000.000,,226000000.000,245000000.000,292000000.000,,212000000.000,238000000.000,280000000.000,,251000000.000
