,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
DebtCurrent,185108000.000,216345000.000,154652000.000,116688000.000,92594000.000,87478000.000,226722000.000,150071000.000,100206000.000,100175000.000,144000.000,149000.000,2291000.000,3052000.000,9528000.000,8090000.000,8379000.000,8793000.000,133056000.000,132349000.000,133692000.000,133473000.000,257675000.000,258516000.000,258228000.000
DebtInstrumentInterestRateEffectivePercentage,,,,0.007,,,,0.016,,,,,,,,,,,,,,,,,
DeferredGainOnSaleOfProperty,,,,51000000.000,,,,48000000.000,,,,45000000.000,,,,42000000.000,,,,38400000.000,,,,35600000.000,
DeferredIncomeTaxLiabilities,,,,,,,,,,,,,,,,,,,,84047000.000,,,,72899000.000,
DeferredTaxAssetsDeferredIncome,,,,182600000.000,,,,187200000.000,,,,165400000.000,,,,160300000.000,,,,128700000.000,,,,102000000.000,
DeferredTaxAssetsGross,,,,478322000.000,,,,664928000.000,,,,696029000.000,,,,553560000.000,,,,525867000.000,,,,321363000.000,
DeferredTaxAssetsInProcessResearchAndDevelopment,,,,23571000.000,,,,30590000.000,,,,42303000.000,,,,48982000.000,,,,56091000.000,,,,4040000.000,
DeferredTaxAssetsLiabilitiesNet,,,,187443000.000,,,,,,,,,,,,,,,,102425000.000,,,,95712000.000,
DeferredTaxAssetsNetCurrent,58573000.000,54097000.000,48667000.000,54054000.000,54905000.000,54598000.000,55966000.000,65635000.000,52337000.000,57474000.000,60736000.000,40189000.000,30394000.000,30475000.000,23315000.000,27709000.000,17127000.000,14923000.000,12586000.000,0.000,,,,,
DeferredTaxAssetsNetNoncurrent,120793000.000,115099000.000,119433000.000,152118000.000,165532000.000,161033000.000,157629000.000,160610000.000,155423000.000,154966000.000,160932000.000,154437000.000,154875000.000,151830000.000,160490000.000,183047000.000,178948000.000,175447000.000,179447000.000,166323000.000,160990000.000,139023000.000,148621000.000,138636000.000,148258000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,309000000.000,,,,312000000.000,,,,181000000.000,,,,186100000.000,,,,191900000.000,
DeferredTaxAssetsOther,,,,18729000.000,,,,25148000.000,,,,16957000.000,,,,17320000.000,,,,14026000.000,,,,-2783000.000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,2643000.000,,,,-699000.000,,,,-7275000.000,,,,,,,,,
DeferredTaxAssetsTaxCreditCarryforwards,,,,,,,,,,,,,,,,,,,,9500000.000,,,,9400000.000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPostretirementBenefits,,,,132210000.000,,,,156399000.000,,,,136370000.000,,,,164542000.000,,,,128429000.000,,,,132638000.000,
DeferredTaxAssetsValuationAllowance,,,,290879000.000,,,,450733000.000,,,,503990000.000,,,,355568000.000,,,,339395000.000,,,,152752000.000,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,,,,,,,,,,,,,,,,72710000.000,,,,55899000.000,
DeferredTaxLiabilitiesPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,,,11337000.000,,,,17000000.000,
DeferredTaxLiabilitiesUndistributedForeignEarnings,,,,924000000.000,,,,1146000000.000,,,,1452000000.000,,,,1500000000.000,,,,1600000000.000,,,,1900000000.000,
DeferredTaxLiabilityNotRecognizedAmountOfUnrecognizedDeferredTaxLiabilityUndistributedEarningsOfForeignSubsidiaries,,,,,,,,,,,,,,,,219000000.000,,,,233600000.000,,,,344000000.000,
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,,,,67518000.000,,,,33345000.000,,,,14058000.000,,,,1338000.000,,,,4906000.000,,,,4343000.000,
DefinedBenefitPlanCostOfProvidingSpecialOrContractualTerminationBenefitsRecognizedDuringPeriod,,3900000.000,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanFairValueOfPlanAssets,,,,,,,,,,,,448851000.000,,,,501801000.000,,,,500311000.000,,,,525964000.000,
DerivativeFairValueOfDerivativeAsset,,,,15092000.000,5986000.000,9927000.000,4628000.000,3539000.000,8120000.000,7714000.000,5332000.000,10146000.000,2978000.000,3015000.000,,21718000.000,52341000.000,17374000.000,13248000.000,11470000.000,8944000.000,20538000.000,8947000.000,21837000.000,6796000.000
DerivativeFairValueOfDerivativeLiability,,,,,,,,,5964000.000,,,,,,1941000.000,,10555000.000,6089000.000,10760000.000,,11704000.000,10627000.000,7439000.000,,5925000.000
DividendsPayableAmount,,,,25100000.000,,,,,,,,,,,,,,,,,,,,,
DividendsPayableAmountPerShare,,,,0.310,,,,,,,,0.390,,,,0.470,,,,0.560,,,,0.640,
DividendsPayableCurrent,21733000.000,21825000.000,29965000.000,25086000.000,25120000.000,25131000.000,27608000.000,,27736000.000,27744000.000,31877000.000,31740000.000,31676000.000,31672000.000,37931000.000,37968000.000,37959000.000,38060000.000,44995000.000,44824000.000,44640000.000,44588000.000,50871000.000,50678000.000,50507000.000
EmployeeRelatedLiabilitiesCurrent,40514000.000,44872000.000,47528000.000,42229000.000,36874000.000,43021000.000,61107000.000,80027000.000,37506000.000,55963000.000,84292000.000,105816000.000,46356000.000,52379000.000,66371000.000,71264000.000,41350000.000,47664000.000,55228000.000,48843000.000,39603000.000,49053000.000,59807000.000,64357000.000,43781000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,119607000.000,121125000.000,122643000.000,124161000.000,125681000.000,127200000.000,128718000.000,130236000.000,131754000.000,133272000.000,134791000.000,135739000.000,138500000.000,140279000.000,142119000.000,143959000.000,146998000.000,152419000.000,157081000.000,163337000.000,168340000.000,173878000.000,180180000.000,187652000.000
FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,,,,,,,,,,,4600000.000,,4600000.000,6700000.000,6700000.000,,6500000.000,,23200000.000,,15600000.000,15100000.000,15200000.000,,22100000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,6100000.000,6100000.000,6100000.000,6100000.000,6100000.000,,4700000.000,,,,7200000.000,,14200000.000,,21300000.000,,,,27700000.000,
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,,,,,,,,,,,6100000.000,,5400000.000,7800000.000,7800000.000,,7200000.000,14500000.000,15900000.000,,23100000.000,21800000.000,21900000.000,,31900000.000
