SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1412665,,,,,,,,,,,,,,,,,,,,,,,,,,
759718,,,,,,,,,,,,,,,,,,,,,,,,,,
1220606,,,2846986.000,,1279484.000,1369207.000,1370033.000,-5032002.000,1258318.000,1296601.000,,,1108244.000,907051.000,722471.000,,,,,,,,,,,
1049502,231851000.000,224487000.000,194508000.000,171671000.000,190868000.000,177397000.000,141447000.000,133796000.000,141645000.000,156928000.000,166453000.000,204394000.000,206353000.000,184697000.000,186798000.000,203021000.000,213839000.000,217966000.000,209332000.000,172387000.000,183681000.000,325861000.000,382204000.000,405140000.000,437153000.000,
1398235,,,,,,,,,553976.000,3516405.000,1968101.000,,,,,,,,,,,,,,,
924642,,,920000.000,,823000.000,,1028000.000,,0.000,0.000,,,,,,,,,,,,1801375.000,1529252.000,,,
1355304,,824449.000,802803.000,,649989.000,858069.000,833217.000,462946.000,,1717406.000,1039498.000,,,2501079.000,1428991.000,,1079950.000,2108375.000,2071119.000,,,,,,,
1036500,,,,2200.000,,,,,,599000.000,,,,6000.000,2125.000,0.000,,,,,,,,,,
1451433,,,,,,0.000,,,,,793496.000,,433483.000,459027.000,641237.000,,271474.000,432414.000,409216.000,,,,,,,
107687,,,131837000.000,,131600000.000,155709000.000,162533000.000,,177166000.000,218199000.000,222670000.000,,228811000.000,247747000.000,245935000.000,,234543000.000,266510000.000,251049000.000,,225672000.000,272077000.000,245308000.000,,370510000.000,476364000.000
1001250,2165700000.000,,2476700000.000,2737500000.000,2248200000.000,2251200000.000,2549500000.000,2933000000.000,2291800000.000,2407400000.000,2675000000.000,3018700000.000,2549800000.000,2725300000.000,2631000000.000,3044500000.000,2580500000.000,2524400000.000,2834700000.000,3124800000.000,2656500000.000,2646300000.000,2865000000.000,3208000000.000,2857000000.000,
910638,,55128000.000,57538000.000,,77920000.000,83610000.000,90532000.000,101571000.000,102079000.000,120787000.000,135717000.000,154817000.000,147758000.000,151512000.000,166944000.000,187438000.000,160722000.000,170504000.000,151574000.000,183363000.000,152555000.000,158111000.000,156362000.000,165937000.000,156431000.000,
1017907,,,49969000.000,,55467000.000,57945000.000,59568000.000,55079000.000,59289000.000,62493000.000,59578000.000,59152000.000,62542000.000,67120000.000,65604000.000,67928000.000,75105000.000,80631000.000,87620000.000,88536000.000,96948000.000,102754000.000,102115000.000,87806000.000,88069000.000,
77597,,,,,,,,,,,,,,,,,,,,,,,,,,
318673,,36466418.000,41324687.000,,47323223.000,,63747903.000,,54852234.000,61332289.000,50552791.000,48577706.000,45053276.000,59411730.000,61725792.000,60745876.000,64049632.000,76040615.000,75494686.000,67576067.000,66014315.000,81739601.000,85239768.000,74214732.000,69452369.000,
