SEC ID,2010,2011,2012,2013,2014,2015,2016
1041550,,,,,,,
878079,,66631000.000,69999000.000,69380000.000,56534000.000,9826000.000,2571000.000
1285236,,,-546128.000,-712107.000,,,
923139,,,,,,,
712771,,,,,,,
934936,,,,,,,
1117480,,,,-28619000.000,-58866000.000,-118251000.000,-77952000.000
949870,,103655000.000,95584000.000,113093000.000,146567000.000,156174000.000,137659000.000
887568,,,,,,,
1392449,,,,,,,
63276,,1041101000.000,1021015000.000,1168103000.000,653714000.000,540922000.000,519233000.000
1354071,,-12703866.000,-9152158.000,-835841.000,,,
315261,,,,,,,
1283140,,,138263000.000,128566000.000,154754000.000,180159000.000,195097000.000
47217,,9677000000.000,-11057000000.000,7131000000.000,7185000000.000,5471000000.000,3549000000.000
33619,,197914000.000,189306000.000,237923000.000,,,
1130889,,-25902.000,-29467.000,-27852.000,-17050.000,-15490.000,-13873.000
1559845,,,,-252550.000,,,
1316360,,172468000.000,207287000.000,198204000.000,303592000.000,307843000.000,
1610758,,,,,243142000.000,,
1506251,,-25637.000,-19618.000,-28118.000,,-3229929.000,-7449291.000
1565220,,,,-30644.000,,,
1323531,,52475000.000,52288000.000,,,,
83246,,,4080000000.000,3898000000.000,3910000000.000,4142000000.000,3816000000.000
29002,,71989000.000,24896000.000,42281000.000,84511000.000,42102000.000,38056000.000
62709,,1638000000.000,1829000000.000,2077000000.000,2301000000.000,2419000000.000,2664000000.000
907045,,,,,,,
1121702,,-38861000.000,3603000.000,-30502000.000,-26829000.000,-23743000.000,-10248000.000
1594114,,,,-16787.000,-28390.000,,
1478132,,-64388.000,-81966.000,,,,
1561743,,,,,-27233000.000,-27262000.000,-22824000.000
1374993,,-21091000.000,,,,,
1080602,,,,,,,
1696898,,,,,,,
1172706,,-237605.000,-219963.000,-291809.000,4662075.000,7239541.000,8046665.000
1359931,,,,,-7580000.000,-20870000.000,-28705000.000
47307,,,,,,,
1295664,,,,,,,
50292,,2167524.000,1780333.000,2546603.000,3121583.000,3121936.000,2779757.000
18255,,,,,,,
918946,,72688000.000,,,,,
1330323,,-2378728.000,,,,,
931755,,554380.000,565968.000,357514.000,352661.000,481027.000,517350.000
58492,,,,,,,
1403570,,,-4213819.000,-3823649.000,-3504141.000,-5457464.000,
1679426,,,,,,,
1314183,,-548000.000,,,,,
1619227,,,,,,,-229218.000
1590560,,,,,,,-71946000.000
816159,,,170332000.000,120681000.000,183478000.000,199856000.000,190977000.000
1138400,,-30350347.000,,,,,
1004036,,,,,,,
751652,,366900000.000,375700000.000,305800000.000,405400000.000,374400000.000,
1580485,,,,,,,
1035991,,,,,,,
1337298,,51615000.000,46092000.000,90254000.000,56128000.000,46971000.000,36523000.000
1435387,,,,,,,
1389030,,73871000.000,62723000.000,,,,
814920,,,,,,,
37996,,,,,,,
778438,,,,,,,
1498372,,,,,,,
1050446,,15042000.000,30153000.000,19440000.000,5104000.000,134022000.000,107625000.000
1611019,,,,,,-46857.000,-24215.000
947969,,,,,,,
1037646,,,,,,,
47129,,,,,,,
1483798,,,,,,,
1005817,,,,,,,
1600470,,,,,-84174000.000,-987485000.000,-114473000.000
1557376,,,,,,,-1043317.000
1532961,,,,,,,
1253689,,,,,-11139807.000,-12784825.000,-31913485.000
8947,,,122035000.000,137849000.000,106825000.000,122288000.000,98360000.000
907562,,-24902000.000,-18885000.000,-17199000.000,-1235000.000,,
720875,,26367.000,104751.000,-185790.000,,-1694846.000,
1335792,,,,,,,
806279,,,,,,,
1166380,,,-14418513.000,-6736905.000,-12715768.000,,
351569,,,,,,,
