SEC ID,2010,2011,2012,2013,2014,2015,2016
29002,,61650000.000,64221000.000,109891000.000,134272000.000,118111000.000,124742000.000
62709,,1705000000.000,1322000000.000,1341000000.000,2112000000.000,1888000000.000,2007000000.000
907045,,313577.000,211002.000,-95978.000,-57793.000,-278211.000,-339901.000
1121702,,-31731000.000,-31736000.000,-26648000.000,-24536000.000,-21863000.000,-14700000.000
1594114,,,,-16287.000,-25880.000,,
1478132,,-50289.000,-70183.000,-55966.000,,,
1561743,,,,,-21934000.000,-22757000.000,-18781000.000
1374993,,-15191000.000,,,,,
1080602,,-475288.000,-761171.000,-415428.000,,,
1696898,,,,,,,
1172706,,-131816.000,-169927.000,-124781.000,4195459.000,5301256.000,5643987.000
1359931,,,,,-9990000.000,-17566000.000,-23687000.000
47307,,-706017.000,-401787.000,685922.000,-606811.000,19972.000,2513886.000
1295664,,,29923000.000,26007000.000,,,
50292,,435957.000,472230.000,1670287.000,436015.000,539775.000,52403.000
18255,,,80351000.000,92959000.000,117459000.000,93853000.000,72129000.000
918946,,-80971000.000,,,,,
1330323,,-561622.000,,,,,
931755,,1142483.000,1080348.000,989420.000,817757.000,914034.000,1041727.000
58492,,328900000.000,449700000.000,416900000.000,381900000.000,359100000.000,552600000.000
1403570,,,-540428.000,-956639.000,-2277697.000,-2380022.000,
1679426,,,,,,,
1314183,,3286000.000,,,,,
1619227,,,,,,,-124751.000
1590560,,,,,,,-72189000.000
816159,,,151295000.000,149650000.000,175629000.000,170998000.000,227088000.000
1138400,,-28652413.000,,,,,
1004036,,,,,,,
751652,,489000000.000,467700000.000,502100000.000,443600000.000,411400000.000,
1580485,,,,,-17153.000,-62910.000,-37406.000
1035991,,3170000.000,,,,,
1337298,,50429000.000,64888000.000,62454000.000,51952000.000,39623000.000,90975000.000
1435387,,-101284.000,-868849.000,-383905.000,-247324.000,-296171.000,-4029073.000
1389030,,86331000.000,89267000.000,,,,
814920,,-292224.000,-25000.000,131.000,,,
37996,,9784000000.000,9045000000.000,10444000000.000,14507000000.000,16170000000.000,19792000000.000
778438,,455899000.000,501439000.000,,,,
1498372,,-21579.000,-9670.000,,-1701348.000,,
1050446,,60814000.000,49884000.000,29934000.000,14600000.000,149699000.000,110589000.000
1611019,,,,,,-39806.000,-15371.000
947969,,,,,,,
1037646,,280880000.000,327704000.000,345928000.000,418912000.000,426868000.000,443078000.000
