SEC ID,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2
1395317,,420907000.000,403041000.000,388099000.000,407010000.000,394020000.000,409086000.000,405636000.000,413486000.000,412498000.000,426974000.000,439127000.000,440737000.000,446582000.000,462430000.000,436314000.000,434720000.000,462276000.000,467547000.000,419933000.000,,411427000.000,435699000.000,389123000.000,,401533000.000
48732,,1636000000.000,1629000000.000,1670000000.000,1449000000.000,1625000000.000,1553000000.000,1575000000.000,864000000.000,949000000.000,830000000.000,733000000.000,950000000.000,884000000.000,925000000.000,1047000000.000,730000000.000,832000000.000,813000000.000,865000000.000,762000000.000,855000000.000,945000000.000,979000000.000,955000000.000,
875159,,,,,,,,,,,,,,,,,,,,,,,,,,
1582718,,,,,,,,,,,0.000,,,19457.000,17810.000,,17031.000,16760.000,,,,,,,,
1455819,,1240620.000,821414.000,499942.000,260456.000,121805.000,26413.000,14968.000,10618.000,,,,768883.000,526984.000,583262.000,919458.000,879743.000,817761.000,,688929.000,421348.000,72083.000,,,,
93389,,426459000.000,408899000.000,400987000.000,432130000.000,472029000.000,457371000.000,418553000.000,474858000.000,505491000.000,467762000.000,446077000.000,460061000.000,496343000.000,483317000.000,466033000.000,488175000.000,499936000.000,479276000.000,479740000.000,506350000.000,547865000.000,542757000.000,514848000.000,534456000.000,
1070494,,41015000.000,36763000.000,31949000.000,26387000.000,21775000.000,23685000.000,108548000.000,102985000.000,206761000.000,198675000.000,188360000.000,372820000.000,358854000.000,341065000.000,324618000.000,299899000.000,273393000.000,242847000.000,218989000.000,462352000.000,423897000.000,603490000.000,547897000.000,489753000.000,
1107332,814377000.000,753731000.000,656690000.000,670222000.000,634250000.000,558775000.000,518059000.000,487290000.000,425968000.000,357726000.000,317776000.000,283748000.000,261377000.000,236527000.000,222738000.000,,,,,,,,,,,
1210294,,1103039.000,11357626.000,7574632.000,6466552.000,3105249.000,10919703.000,5960939.000,5834039.000,3543902.000,,2652382.000,5980242.000,3322880.000,7373693.000,5088016.000,3481000.000,,,,,,,,,
1269021,,,,,,,,,,,178672000.000,272707000.000,273266000.000,233116000.000,230007000.000,315077000.000,403450000.000,417474000.000,376467000.000,465577000.000,442890000.000,381448000.000,301698000.000,328928000.000,327581000.000,
1593204,,,,,,,,,,,,,,,7927.000,,27042.000,2928.000,2491.000,,533.000,466.000,315.000,,206.000,314.000
1434316,,,,,,,,,,,19386000.000,54651000.000,48263000.000,42245000.000,45624000.000,49872000.000,42792000.000,81571000.000,74185000.000,65652000.000,56567000.000,47092000.000,47399000.000,93323000.000,83437000.000,
740670,,1086000000.000,1278000000.000,,1334000000.000,1383000000.000,1387000000.000,,1047000000.000,1027000000.000,1345000000.000,,1273000000.000,1182000000.000,,,,,,,,,,,,
788611,,1074470.000,1024051.000,945281.000,627723.000,,508076.000,449516.000,302888.000,634733.000,1428516.000,1322134.000,4157352.000,4436154.000,3797595.000,3165956.000,2738204.000,2486992.000,2184902.000,1895644.000,1600720.000,931050.000,376057.000,909924.000,5520390.000,
1058290,3535800000.000,3757897000.000,3812197000.000,4085506000.000,4196742000.000,4152352000.000,4541531000.000,4814294000.000,4836640000.000,5133961000.000,5739205000.000,6147882000.000,6290740000.000,6740690000.000,7260026000.000,6750297000.000,6406500000.000,6771400000.000,7237900000.000,7908600000.000,7570900000.000,7758900000.000,8199800000.000,8600000000.000,7842000000.000,
75439,,,124000.000,30000.000,107000.000,,178000.000,183000.000,42000.000,23000.000,30000.000,16000.000,14000.000,7165000.000,6799000.000,,,5627000.000,6018000.000,5646000.000,5635000.000,5932000.000,,5344000.000,,
1582086,,,,,,,,,,,,,,,,,,,,,,,,,,
1347613,,1365143.000,655777.000,14308285.000,7740866.000,44985408.000,38652610.000,34049000.000,22689000.000,94649000.000,87349000.000,71875000.000,76216000.000,55997000.000,36874000.000,200203000.000,182277000.000,163966000.000,143148000.000,115055000.000,87516000.000,145485000.000,110834000.000,88916000.000,163266000.000,
1412665,,,,,,,,,,,,,,,,,,,,,,,,,,
759718,,,,,,,,,,,,,,,,,,,,,,,,,,
1220606,,,5967618.000,6632505.000,3944220.000,6178786.000,8624957.000,12202186.000,15515980.000,19089778.000,,22146899.000,16692865.000,13194891.000,9684476.000,,,,,,,,,,,
1049502,823574000.000,849709000.000,850328000.000,884901000.000,884109000.000,891596000.000,852937000.000,868182000.000,858645000.000,861688000.000,893557000.000,879231000.000,895609000.000,763028000.000,736875000.000,738091000.000,675341000.000,687668000.000,719362000.000,939511000.000,959133000.000,1001513000.000,1002343000.000,998769000.000,1021518000.000,
1398235,,,,,,,,,2049829.000,4893132.000,2591128.000,,,,,,,,,,,,,,,
924642,,,17281000.000,12360000.000,8017000.000,,4127000.000,3210000.000,1707000.000,1445000.000,515000.000,1183000.000,1028000.000,251000.000,130000.000,186000.000,157000.000,113000.000,27000.000,12000.000,7000.000,418260.000,232136.000,,,
1355304,,683879.000,659424.000,538655.000,453983.000,503129.000,481215.000,337263.000,,775715.000,956130.000,,,4237245.000,3695945.000,,2844235.000,3638943.000,3936553.000,,,,,,,
1036500,,,,,,,,,,,,,,,,,,,,,,,,,,
1451433,,4323.000,4305.000,,,66829.000,61989.000,,56019.000,3939.000,799161.000,,872643.000,746648.000,466578.000,,438948.000,378221.000,393942.000,,,,,,,
107687,,,158938000.000,,167620000.000,175727000.000,187068000.000,193234000.000,194471000.000,211048000.000,223850000.000,,227529000.000,255891000.000,267629000.000,,252413000.000,251535000.000,266217000.000,,254139000.000,273533000.000,280589000.000,,293828000.000,298289000.000
1001250,3710500000.000,3686500000.000,3562100000.000,3753300000.000,3899900000.000,3855100000.000,4213100000.000,4341000000.000,4286200000.000,4297200000.000,4632400000.000,4925600000.000,4691800000.000,4825200000.000,4727900000.000,4426000000.000,4429200000.000,4468500000.000,4383300000.000,4475800000.000,4252300000.000,4225100000.000,4401000000.000,4789000000.000,4972000000.000,
