SEC ID,Report date,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,ComprehensiveIncomeNetOfTax,EarningsPerShareDiluted,Goodwill,Liabilities,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,Revenues,WeightedAverageNumberOfDilutedSharesOutstanding
1379606,2016-12-31,221416935.000,,21578215.000,,,,1756340.000,,-13722807.000,,-48138985.000,,,,
1575965,2016-12-31,7369330000.000,,36556000.000,,1.600,75521000.000,4935461000.000,,2698927000.000,-3218616000.000,514370000.000,480623000.000,119427000.000,828255000.000,180622000.000
1168990,2016-12-31,10376752.000,,,,,,1593492.000,,-3151386.000,,-1699419.000,,,,
1467974,2012-01-01,4300668000.000,746936000.000,475231000.000,,,870431000.000,2304599000.000,368268000.000,-224584000.000,-58197000.000,246717000.000,137121000.000,1192200000.000,2431358000.000,407180000.000
1396054,2016-12-31,31422.000,16977.000,7540.000,,,,321723.000,321723.000,140000.000,-4445.000,-129404.000,-103964.000,,,
874501,2016-12-31,,,,,,,,,,,,,,,
739421,2016-12-31,1223018000.000,,17754000.000,11482000.000,3.780,21089000.000,1099750000.000,,47254000.000,-70078000.000,16194000.000,,17030000.000,,3343489.000
1575142,2015-12-31,7190.000,6663.000,99.000,-252703.000,,,210564.000,210564.000,-37700.000,,-72.000,-227276.000,527.000,,
714310,2016-12-31,22864439000.000,,392501000.000,171748000.000,0.630,690637000.000,20487283000.000,,1086837000.000,-1527313000.000,419177000.000,,291180000.000,,255268336.000
1321710,2015-02-28,891331.000,,884643.000,,,,441351.000,,826419.000,,51369.000,-97954.000,,52099.000,
1438901,2015-01-31,49881.000,49881.000,49881.000,,,,,1247890.000,570203.000,0.000,-527621.000,-555547.000,0.000,24828.000,
874691,2011-12-31,2565559000.000,580699000.000,369138000.000,,,439419000.000,2569450000.000,671420000.000,-85965000.000,-116176000.000,274627000.000,171947000.000,806004000.000,3841443000.000,
896159,2016-12-31,159786000000.000,,985000000.000,4556000000.000,8.870,15332000000.000,111511000000.000,,-742000000.000,-5315000000.000,5292000000.000,,1200000000.000,31469000000.000,465949399.000
1444380,2016-12-31,430583000.000,420291000.000,41406000.000,-32281000.000,,,181549000.000,42198000.000,145164000.000,-131687000.000,-58503000.000,-23081000.000,7132000.000,228504000.000,
1342126,2015-12-31,561778000.000,,45925000.000,4574000.000,,54057000.000,771216000.000,,-1772000.000,28513000.000,5691000.000,11870000.000,265678000.000,219982000.000,34642000.000
733337,2016-12-31,468433.000,433585.000,90764.000,,,,371237.000,371237.000,5000.000,,-33403.000,,13754.000,945619.000,
944075,2016-12-31,20638995.000,5982786.000,1319006.000,,1.800,4427000.000,4469063.000,4116375.000,-194495.000,-304470.000,879816.000,2563016.000,563883.000,20787588.000,6819821.000
750304,2011-12-31,1000.000,,,,,,895000.000,,,2000.000,-26000.000,-175000.000,,0.000,
1096950,2016-12-31,454920.000,372271.000,,,,,,2046354.000,-41523.000,-7730.000,36172.000,,75160.000,1975923.000,
1018005,2013-02-02,345908000.000,170415000.000,21734000.000,-81170000.000,-2.690,,308772000.000,146383000.000,28865000.000,-16352000.000,-42144000.000,-68685000.000,169007000.000,742472000.000,30477000.000
1260990,2016-12-31,24502000.000,24298000.000,8910000.000,,-1.220,,,4611000.000,13481000.000,2151000.000,-20778000.000,-25933000.000,81000.000,,14559541.000
350907,2015-01-03,763983000.000,404492000.000,72814000.000,40872000.000,0.890,225293000.000,131186000.000,81480000.000,-111619000.000,-45773000.000,90766000.000,69938000.000,51231000.000,478084000.000,56704000.000
1660690,2016-09-30,1043800000.000,468000000.000,105600000.000,234800000.000,,180100000.000,1147200000.000,104300000.000,-105500000.000,-61900000.000,253400000.000,278900000.000,296500000.000,970100000.000,
945841,2016-12-31,994095000.000,695557000.000,21956000.000,148632000.000,3.470,184795000.000,786598000.000,296220000.000,-99672000.000,-55643000.000,165378000.000,255859000.000,83290000.000,2570803000.000,42984000.000
1186362,2012-12-31,594170000.000,193396000.000,,-22841000.000,,69673000.000,,121935000.000,8153000.000,-26803000.000,19411000.000,30483000.000,223298000.000,,
1606440,2016-12-31,911984000.000,,24243000.000,,1.160,11404000.000,805065000.000,,27593000.000,-72682000.000,48762000.000,,9093000.000,,7691493.000
1402357,2012-03-31,442.000,442.000,442.000,,,,,395391.000,43269.000,,-45504.000,,,,
1094847,2014-12-31,12514.000,12514.000,12514.000,,,,5675674.000,4975674.000,200000.000,0.000,-232384.000,-2545803.000,0.000,0.000,
1285224,2015-12-31,4713468000.000,,,60238000.000,0.780,67473000.000,4180538000.000,,492189000.000,-649207000.000,41258000.000,,16096000.000,,78818556.000
72444,2016-06-30,72700000.000,72400000.000,49700000.000,-25300000.000,-0.660,,26500000.000,9200000.000,17800000.000,1300000.000,-14100000.000,-25200000.000,300000.000,9300000.000,38635452.000
1515816,2015-12-31,150051000.000,,698000.000,,,,211090000.000,,-1545000.000,1620000.000,-4351000.000,-5369000.000,,19205000.000,
1402057,2016-12-31,6948400000.000,3238100000.000,263700000.000,345900000.000,2.560,2455000000.000,,2280700000.000,-304600000.000,-65900000.000,604000000.000,819200000.000,163700000.000,13981900000.000,166000000.000
851205,2016-12-31,1038604000.000,526344000.000,79641000.000,145268000.000,1.720,95280000.000,76005000.000,65773000.000,-29231000.000,-121832000.000,182081000.000,160784000.000,53992000.000,520753000.000,87072000.000
1457919,2016-12-31,19705000.000,4167000.000,3458000.000,-942000.000,,,9886000.000,1984000.000,4365000.000,-1946000.000,-405000.000,-699000.000,,,
1297223,2016-05-31,1496972.000,68456.000,52373.000,,,,2238880.000,2148880.000,375000.000,10653.000,-419265.000,-620544.000,358.000,0.000,
1183082,2016-12-31,1185085.000,495081.000,10639.000,-186602.000,,,1159500.000,1159500.000,8351.000,138814.000,-167827.000,,,87023.000,
890319,2016-12-31,4010912000.000,,40603000.000,123916000.000,1.770,,4072911000.000,,251458000.000,-722513000.000,305023000.000,,,612557000.000,60829555.000
866273,2016-06-30,564967000.000,375446000.000,71656000.000,27944000.000,1.070,78293000.000,249401000.000,246030000.000,-10585000.000,-26566000.000,30326000.000,40882000.000,84731000.000,1311917000.000,27100000.000
1023291,2015-12-31,23330000000.000,4323000000.000,2286000000.000,-5338000000.000,,152000000.000,48391000000.000,8512000000.000,-552000000.000,-593000000.000,3000000.000,,9430000000.000,5370000000.000,
1528558,2015-12-31,2529258000.000,,5420000.000,42040000.000,0.700,,1853801000.000,,143916000.000,-229987000.000,77183000.000,52275000.000,,305384000.000,58188741.000
1208790,2012-12-31,84098535.000,39546960.000,,413948.000,0.003,,76175706.000,75929098.000,4052837.000,-8401342.000,1848537.000,1825797.000,28199889.000,92461713.000,31077632.000
1083490,2014-12-31,101338710.000,81510666.000,1626584.000,-3622521.000,,,104631063.000,91038087.000,28257125.000,-335210.000,-28418905.000,-2242333.000,8470080.000,8611639.000,
882829,2013-09-29,1197346000.000,548303000.000,242818000.000,44598000.000,,,1083896000.000,323783000.000,-26431000.000,-46550000.000,95999000.000,97138000.000,600019000.000,,
727273,2016-12-31,67099000.000,15602000.000,12172000.000,,,3813000.000,121416000.000,4562000.000,18996000.000,,-9514000.000,-9210000.000,44182000.000,412000.000,18719000.000
743870,2014-12-31,42585000.000,,3468000.000,,,,28825000.000,,-673000.000,-353000.000,1606000.000,-1057000.000,,,
1077800,2014-06-30,1126782.000,28110.000,26640.000,,,,2754137.000,2754137.000,495000.000,,-469561.000,-639338.000,59598.000,216000.000,
1102414,2013-12-31,5619037.000,752037.000,54157.000,,,,,52852126.000,425000.000,-1196.000,-404696.000,-731638.000,,,
1592411,2016-12-31,0.000,,,,,,,10806.000,9210.000,,-20861.000,-34873.000,,,
897077,2016-12-31,552776000.000,327618000.000,16793000.000,28368000.000,3.460,74825000.000,,78700000.000,-77117000.000,-8656000.000,75554000.000,67620000.000,66629000.000,844748000.000,11565000.000
1171162,2016-08-31,879717000.000,326536000.000,48361000.000,-26041000.000,,1349000.000,536153000.000,133546000.000,-10811000.000,-159866000.000,102010000.000,25583000.000,403631000.000,2086625000.000,
1035267,2016-12-31,6486900000.000,3250400000.000,1036600000.000,736500000.000,18.730,201100000.000,709100000.000,596500000.000,558500000.000,-1279400000.000,1042900000.000,945200000.000,458400000.000,2704400000.000,39300000.000
1370292,2012-06-30,,32464.000,22464.000,,,,163838.000,,50000.000,,-30263.000,,,,
1071264,2014-12-31,488584000.000,,,3134000.000,0.330,,451472000.000,,-21687000.000,3613000.000,2121000.000,,5147000.000,,5800833.000
1092796,2017-04-30,788036000.000,318441000.000,61549000.000,129038000.000,2.250,169017000.000,394874000.000,151245000.000,-9564000.000,-243742000.000,123576000.000,199939000.000,149685000.000,903188000.000,56891000.000
1399249,2016-12-31,179121000.000,,43522000.000,16156000.000,0.580,,97787000.000,,-50360000.000,195000.000,58572000.000,47218000.000,6965000.000,108336000.000,68849172.000
27996,2015-12-31,1844402000.000,325988000.000,62427000.000,199764000.000,4.360,976415000.000,,751043000.000,-46689000.000,-251140000.000,307933000.000,354331000.000,85732000.000,1772817000.000,49825000.000
711513,2012-12-31,4422000000.000,,345000000.000,48000000.000,,,3925000000.000,,-968000000.000,331000000.000,41000000.000,,,436000000.000,
